"filename", "language", "JavaScript", "TypeScript", "JSON", "Markdown", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\GitState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 2, 9, 83
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\types.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\utils.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 9, 6, 71
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\ReposLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 3, 6, 51
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\ReposList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 4, 4, 82
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\hooks\useRepoData.ts", "TypeScript", 0, 187, 0, 0, 0, 0, 0, 0, 12, 21, 220
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 361, 0, 4, 24, 389
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Test2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 1, 7, 74
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\route\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\api.ts", "TypeScript", 0, 252, 0, 0, 0, 0, 0, 0, 34, 32, 318
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\createSelectors.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\store.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 7, 6, 93
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\tool.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\websocket.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 0, 0, 17, 26, 151
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 22, 0, 0, 0, 2, 3, 27
"Total", "-", 5, 753, 77, 163, 22, 56, 2513, 1, 217, 405, 4212
