"filename", "language", "JavaScript", "Markdown", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\FileTree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 4, 7, 68
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\CommitList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 3, 6, 121
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\DiffView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 55
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\GitState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 1, 9, 76
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\types.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\Git\utils.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 9, 6, 71
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\ReposLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 1, 5, 50
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\ReposList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 4, 4, 78
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Repos\hooks\useRepoData.ts", "TypeScript", 0, 0, 113, 0, 0, 0, 0, 0, 8, 10, 131
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 359, 0, 0, 4, 24, 387
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\pages\Test2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 1, 7, 73
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\route\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\api.ts", "TypeScript", 0, 0, 200, 0, 0, 0, 0, 0, 4, 21, 225
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\createSelectors.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\store.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 7, 7, 88
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\src\utils\tool.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\D1mo\Documents\ZaymyRsila\rsbuild-project\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 22, 0, 0, 0, 2, 3, 27
"Total", "-", 8, 163, 501, 46, 22, 2324, 38, 1, 140, 315, 3558
